Test Index,Train Index,Score,Computing Time (s),Space Usage (MB),Same Class
0,0,0.0,0.00032007300001168915,0.30028629302978516,False
1,0,0.0,0.00012517300001491094,0.30025577545166016,False
2,0,0.0,0.00012584499995682563,0.30025577545166016,False
3,0,0.0,0.00013732800016441615,0.30025577545166016,True
4,0,0.0,0.00012496299996200833,0.30025577545166016,False
5,0,0.0,0.0001479370000652125,0.30025577545166016,False
6,0,0.0,0.00012843599984080356,0.30025577545166016,False
7,0,0.0,0.00012902499997835548,0.30025577545166016,False
8,0,0.0,0.00012616799995157635,0.30025577545166016,False
9,0,0.0,0.00014933800002836506,0.30025577545166016,False
10,0,0.0,0.000126974999830054,0.30025577545166016,False
11,0,0.0,0.0001258039999356697,0.30025577545166016,False
12,0,0.0,0.0001435599999695114,0.30025577545166016,False
13,0,0.0,0.00017334899985144148,0.30025577545166016,False
14,0,0.0,0.0001265789999251865,0.30025577545166016,False
15,0,0.0,0.0001369949998206721,0.30025577545166016,False
16,0,0.0,0.0001299559999097255,0.30025577545166016,False
17,0,0.0,0.00012786600018444005,0.30025577545166016,False
18,0,0.0,0.000124480000067706,0.30025577545166016,False
19,0,0.0,0.0001264190000256349,0.30025577545166016,False
20,0,0.0,0.0001258099998722173,0.30025577545166016,False
21,0,0.0,0.00013799700013805705,0.30025577545166016,False
22,0,0.0,0.00012294299995119218,0.30025577545166016,False
23,0,0.0,0.0001258109998616419,0.30025577545166016,False
24,0,0.0,0.00012707900009445439,0.30025577545166016,False
25,0,0.0,0.00012534400002550683,0.30025577545166016,False
26,0,0.0,0.00012421200017342926,0.30025577545166016,False
27,0,0.0,0.00014833000000180618,0.30025577545166016,False
28,0,0.0,0.00012512999978753214,0.30025577545166016,False
29,0,0.0,0.0001294579999466805,0.3002786636352539,False
30,0,0.0,0.00012593700012075715,0.3002786636352539,False
31,0,0.0,0.00012783299985130725,0.3002786636352539,False
32,0,0.0,0.0003250080001180322,0.3002786636352539,False
33,0,0.0,0.00013264900007925462,0.3002786636352539,False
34,0,0.0,0.00013090800007375947,0.3002786636352539,False
35,0,0.0,0.00013213300007919315,0.3002786636352539,False
36,0,0.0,0.00013111700013723748,0.3002786636352539,False
37,0,0.0,0.00012482500005717156,0.3002786636352539,False
38,0,0.0,0.00014488199985862593,0.3002786636352539,False
39,0,0.0,0.00013364299979912175,0.3002786636352539,False
40,0,0.0,0.00017783500015866593,0.3002786636352539,False
41,0,0.0,0.00012549400003081246,0.3002786636352539,False
42,0,0.0,0.00013107500012665696,0.3002786636352539,False
43,0,0.0,0.00013652899997396162,0.3002786636352539,False
44,0,0.0,0.0001292350000312581,0.3002786636352539,False
45,0,0.0,0.00012716300011561543,0.3002786636352539,False
46,0,0.0,0.00012693500002569635,0.3002786636352539,False
47,0,0.0,0.00012875000015810656,0.3002786636352539,False
48,0,0.0,0.00014031099999556318,0.3002786636352539,False
49,0,0.0,0.00014896599986968795,0.3002786636352539,False
50,0,0.0,0.00012931299988849787,0.3002786636352539,False
51,0,0.0,0.00013114100011080154,0.3002786636352539,False
52,0,0.0,0.00014743900010216748,0.3002786636352539,False
53,0,0.0,0.0001296220000313042,0.3002786636352539,False
54,0,0.0,0.00013646000002154324,0.3002786636352539,False
55,0,0.0,0.00023277299987967126,0.3002786636352539,False
56,0,0.0,0.00012990999994144659,0.3002786636352539,False
57,0,0.0,0.00013705599985769368,0.3003396987915039,False
58,0,0.0,0.00014966499998081417,0.3003396987915039,False
59,0,0.0,0.00013190000004215108,0.3003396987915039,False
60,0,0.0,0.00013761800005340774,0.3003396987915039,False
61,0,0.0,0.0001602719999027613,0.3003396987915039,False
62,0,0.0,0.0001290679999783606,0.3003396987915039,False
63,0,0.0,0.0001320729998042225,0.3003396987915039,False
64,0,0.0,0.0001281800000469957,0.3003396987915039,False
65,0,0.0,0.00013172499984648312,0.3003396987915039,False
66,0,0.0,0.00012942200010002125,0.3003396987915039,False
67,0,0.0,0.00012793399992006016,0.3003396987915039,False
