,Adiac,ArrowHead,Beef,BeetleFly,BirdChicken,CBF,Car,ChlorineConcentration,CinCECGTorso,Coffee,Computers,CricketX,CricketY,CricketZ,DiatomSizeReduction,DistalPhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,DistalPhalanxTW,ECG200,ECG5000,ECGFiveDays,Earthquakes,ElectricDevices,FaceAll,FaceFour,FacesUCR,FiftyWords,Fish,FordA,FordB,GunPoint,Ham
Computers,0.3,0.35909242322980395,0.5642880936468347,0.6708203932499368,0.22360679774997894,-0.09999999999999999,0.49999999999999994,-0.3,-0.3,0.6708203932499368,0.9999999999999999,-0.3,-0.3,-0.3,0.8999999999999998,-0.051298917604257706,-0.6668859288553501,-0.3,0.09999999999999999,-0.39999999999999997,0.19999999999999998,-0.8720815992723809,-0.3,-0.3,0.09999999999999999,-0.3,-0.3,0.7999999999999999,-0.3,-0.3,0.7999999999999999,0.3
CricketX,0.7,0.5642880936468347,0.20519567041703082,0.3354101966249684,0.6708203932499368,0.8999999999999998,0.6,0.9999999999999999,0.7,0.3354101966249684,-0.3,0.9999999999999999,0.9999999999999999,0.9999999999999999,-0.09999999999999999,0.8207826816681233,0.5642880936468347,0.9999999999999999,0.49999999999999994,0.8999999999999998,0.3,0.6668859288553501,0.9999999999999999,0.9999999999999999,0.8999999999999998,0.9999999999999999,0.9999999999999999,0.19999999999999998,0.7,0.7,0.19999999999999998,0.3
CricketY,0.7,0.5642880936468347,0.20519567041703082,0.3354101966249684,0.6708203932499368,0.8999999999999998,0.6,0.9999999999999999,0.7,0.3354101966249684,-0.3,0.9999999999999999,0.9999999999999999,0.9999999999999999,-0.09999999999999999,0.8207826816681233,0.5642880936468347,0.9999999999999999,0.49999999999999994,0.8999999999999998,0.3,0.6668859288553501,0.9999999999999999,0.9999999999999999,0.8999999999999998,0.9999999999999999,0.9999999999999999,0.19999999999999998,0.7,0.7,0.19999999999999998,0.3
CricketZ,0.7,0.5642880936468347,0.20519567041703082,0.3354101966249684,0.6708203932499368,0.8999999999999998,0.6,0.9999999999999999,0.7,0.3354101966249684,-0.3,0.9999999999999999,0.9999999999999999,0.9999999999999999,-0.09999999999999999,0.8207826816681233,0.5642880936468347,0.9999999999999999,0.49999999999999994,0.8999999999999998,0.3,0.6668859288553501,0.9999999999999999,0.9999999999999999,0.8999999999999998,0.9999999999999999,0.9999999999999999,0.19999999999999998,0.7,0.7,0.19999999999999998,0.3
DiatomSizeReduction,0.6,0.6668859288553501,0.8207826816681233,0.8944271909999157,0.44721359549995787,0.0,0.7,-0.09999999999999999,-0.39999999999999997,0.8944271909999157,0.8999999999999998,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,0.9999999999999999,-0.051298917604257706,-0.5642880936468347,-0.09999999999999999,0.19999999999999998,-0.3,0.09999999999999999,-0.6155870112510925,-0.09999999999999999,-0.09999999999999999,0.3,-0.09999999999999999,-0.09999999999999999,0.8999999999999998,-0.39999999999999997,-0.39999999999999997,0.8999999999999998,0.49999999999999994
DistalPhalanxOutlineAgeGroup,0.46169025843831935,0.26315789473684215,-0.07894736842105264,0.22941573387056177,0.34412360080584264,0.9746794344808963,0.6155870112510925,0.8207826816681234,0.6668859288553503,0.22941573387056177,-0.05129891760425771,0.8207826816681234,0.8207826816681234,0.8207826816681234,-0.05129891760425771,1.0,0.15789473684210528,0.8207826816681234,0.15389675281277312,0.6668859288553503,0.15389675281277312,0.2894736842105264,0.8207826816681234,0.8207826816681234,0.7181848464596079,0.8207826816681234,0.8207826816681234,0.35909242322980395,0.6668859288553503,0.6668859288553503,0.35909242322980395,-0.10259783520851543
DistalPhalanxOutlineCorrect,0.15389675281277312,0.15789473684210528,-0.026315789473684213,-0.22941573387056177,0.45883146774112354,0.20519567041703085,-0.20519567041703085,0.5642880936468347,0.7181848464596079,-0.22941573387056177,-0.6668859288553503,0.5642880936468347,0.5642880936468347,0.5642880936468347,-0.5642880936468347,0.15789473684210528,1.0,0.5642880936468347,0.6668859288553503,0.8207826816681234,0.5642880936468347,0.7631578947368421,0.5642880936468347,0.5642880936468347,0.4103913408340617,0.5642880936468347,0.5642880936468347,-0.5642880936468347,0.7181848464596079,0.7181848464596079,-0.5642880936468347,0.4103913408340617
DistalPhalanxTW,0.7,0.5642880936468347,0.20519567041703082,0.3354101966249684,0.6708203932499368,0.8999999999999998,0.6,0.9999999999999999,0.7,0.3354101966249684,-0.3,0.9999999999999999,0.9999999999999999,0.9999999999999999,-0.09999999999999999,0.8207826816681233,0.5642880936468347,0.9999999999999999,0.49999999999999994,0.8999999999999998,0.3,0.6668859288553501,0.9999999999999999,0.9999999999999999,0.8999999999999998,0.9999999999999999,0.9999999999999999,0.19999999999999998,0.7,0.7,0.19999999999999998,0.3
ECG200,0.6,0.6668859288553501,0.6155870112510925,0.44721359549995787,0.8944271909999157,0.19999999999999998,0.3,0.49999999999999994,0.6,0.44721359549995787,0.09999999999999999,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.19999999999999998,0.15389675281277312,0.6668859288553501,0.49999999999999994,0.9999999999999999,0.7,0.8999999999999998,0.20519567041703082,0.49999999999999994,0.49999999999999994,0.7,0.49999999999999994,0.49999999999999994,0.09999999999999999,0.6,0.6,0.09999999999999999,0.8999999999999998
ECG5000,0.49999999999999994,0.41039134083406165,0.10259783520851541,0.11180339887498947,0.6708203932499368,0.7,0.3,0.8999999999999998,0.8999999999999998,0.11180339887498947,-0.39999999999999997,0.8999999999999998,0.8999999999999998,0.8999999999999998,-0.3,0.6668859288553501,0.8207826816681233,0.8999999999999998,0.7,0.9999999999999999,0.6,0.6668859288553501,0.8999999999999998,0.8999999999999998,0.7999999999999999,0.8999999999999998,0.8999999999999998,-0.09999999999999999,0.8999999999999998,0.8999999999999998,-0.09999999999999999,0.39999999999999997
ECGFiveDays,0.3,0.35909242322980395,0.35909242322980395,0.22360679774997894,0.6708203932499368,0.09999999999999999,0.09999999999999999,0.3,0.7,0.22360679774997894,0.19999999999999998,0.3,0.3,0.3,0.09999999999999999,0.15389675281277312,0.5642880936468347,0.3,0.8999999999999998,0.6,0.9999999999999999,-0.051298917604257706,0.3,0.3,0.49999999999999994,0.3,0.3,0.0,0.7,0.7,0.0,0.7
Earthquakes,0.20519567041703085,0.13157894736842107,-0.15789473684210528,-0.22941573387056177,0.22941573387056177,0.4103913408340617,-0.05129891760425771,0.6668859288553503,0.4103913408340617,-0.22941573387056177,-0.8720815992723809,0.6668859288553503,0.6668859288553503,0.6668859288553503,-0.6155870112510925,0.2894736842105264,0.7631578947368421,0.6668859288553503,0.20519567041703085,0.6668859288553503,-0.05129891760425771,1.0,0.6668859288553503,0.6668859288553503,0.35909242322980395,0.6668859288553503,0.6668859288553503,-0.46169025843831935,0.4103913408340617,0.4103913408340617,-0.46169025843831935,0.05129891760425771
ElectricDevices,0.7,0.5642880936468347,0.20519567041703082,0.3354101966249684,0.6708203932499368,0.8999999999999998,0.6,0.9999999999999999,0.7,0.3354101966249684,-0.3,0.9999999999999999,0.9999999999999999,0.9999999999999999,-0.09999999999999999,0.8207826816681233,0.5642880936468347,0.9999999999999999,0.49999999999999994,0.8999999999999998,0.3,0.6668859288553501,0.9999999999999999,0.9999999999999999,0.8999999999999998,0.9999999999999999,0.9999999999999999,0.19999999999999998,0.7,0.7,0.19999999999999998,0.3
FaceAll,0.7,0.5642880936468347,0.20519567041703082,0.3354101966249684,0.6708203932499368,0.8999999999999998,0.6,0.9999999999999999,0.7,0.3354101966249684,-0.3,0.9999999999999999,0.9999999999999999,0.9999999999999999,-0.09999999999999999,0.8207826816681233,0.5642880936468347,0.9999999999999999,0.49999999999999994,0.8999999999999998,0.3,0.6668859288553501,0.9999999999999999,0.9999999999999999,0.8999999999999998,0.9999999999999999,0.9999999999999999,0.19999999999999998,0.7,0.7,0.19999999999999998,0.3
FaceFour,0.8999999999999998,0.8207826816681233,0.5642880936468347,0.6708203932499368,0.8944271909999157,0.7999999999999999,0.7999999999999999,0.8999999999999998,0.6,0.6708203932499368,0.09999999999999999,0.8999999999999998,0.8999999999999998,0.8999999999999998,0.3,0.7181848464596079,0.41039134083406165,0.8999999999999998,0.7,0.7999999999999999,0.49999999999999994,0.35909242322980395,0.8999999999999998,0.8999999999999998,0.9999999999999999,0.8999999999999998,0.8999999999999998,0.49999999999999994,0.6,0.6,0.49999999999999994,0.6
FacesUCR,0.7,0.5642880936468347,0.20519567041703082,0.3354101966249684,0.6708203932499368,0.8999999999999998,0.6,0.9999999999999999,0.7,0.3354101966249684,-0.3,0.9999999999999999,0.9999999999999999,0.9999999999999999,-0.09999999999999999,0.8207826816681233,0.5642880936468347,0.9999999999999999,0.49999999999999994,0.8999999999999998,0.3,0.6668859288553501,0.9999999999999999,0.9999999999999999,0.8999999999999998,0.9999999999999999,0.9999999999999999,0.19999999999999998,0.7,0.7,0.19999999999999998,0.3
FiftyWords,0.7,0.5642880936468347,0.20519567041703082,0.3354101966249684,0.6708203932499368,0.8999999999999998,0.6,0.9999999999999999,0.7,0.3354101966249684,-0.3,0.9999999999999999,0.9999999999999999,0.9999999999999999,-0.09999999999999999,0.8207826816681233,0.5642880936468347,0.9999999999999999,0.49999999999999994,0.8999999999999998,0.3,0.6668859288553501,0.9999999999999999,0.9999999999999999,0.8999999999999998,0.9999999999999999,0.9999999999999999,0.19999999999999998,0.7,0.7,0.19999999999999998,0.3
Fish,0.7,0.6668859288553501,0.6668859288553501,0.8944271909999157,0.44721359549995787,0.39999999999999997,0.8999999999999998,0.19999999999999998,-0.19999999999999998,0.8944271909999157,0.7999999999999999,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.8999999999999998,0.35909242322980395,-0.5642880936468347,0.19999999999999998,0.09999999999999999,-0.09999999999999999,0.0,-0.46169025843831935,0.19999999999999998,0.19999999999999998,0.49999999999999994,0.19999999999999998,0.19999999999999998,0.9999999999999999,-0.19999999999999998,-0.19999999999999998,0.9999999999999999,0.3
FordA,0.19999999999999998,0.10259783520851541,-0.15389675281277312,-0.11180339887498947,0.44721359549995787,0.6,0.09999999999999999,0.7,0.9999999999999999,-0.11180339887498947,-0.3,0.7,0.7,0.7,-0.39999999999999997,0.6668859288553501,0.7181848464596079,0.7,0.6,0.8999999999999998,0.7,0.41039134083406165,0.7,0.7,0.6,0.7,0.7,-0.19999999999999998,0.9999999999999999,0.9999999999999999,-0.19999999999999998,0.19999999999999998
FordB,0.19999999999999998,0.10259783520851541,-0.15389675281277312,-0.11180339887498947,0.44721359549995787,0.6,0.09999999999999999,0.7,0.9999999999999999,-0.11180339887498947,-0.3,0.7,0.7,0.7,-0.39999999999999997,0.6668859288553501,0.7181848464596079,0.7,0.6,0.8999999999999998,0.7,0.41039134083406165,0.7,0.7,0.6,0.7,0.7,-0.19999999999999998,0.9999999999999999,0.9999999999999999,-0.19999999999999998,0.19999999999999998
GunPoint,0.7,0.6668859288553501,0.6668859288553501,0.8944271909999157,0.44721359549995787,0.39999999999999997,0.8999999999999998,0.19999999999999998,-0.19999999999999998,0.8944271909999157,0.7999999999999999,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.8999999999999998,0.35909242322980395,-0.5642880936468347,0.19999999999999998,0.09999999999999999,-0.09999999999999999,0.0,-0.46169025843831935,0.19999999999999998,0.19999999999999998,0.49999999999999994,0.19999999999999998,0.19999999999999998,0.9999999999999999,-0.19999999999999998,-0.19999999999999998,0.9999999999999999,0.3
Ham,0.7,0.8207826816681233,0.8720815992723809,0.6708203932499368,0.8944271909999157,0.0,0.39999999999999997,0.3,0.19999999999999998,0.6708203932499368,0.3,0.3,0.3,0.3,0.49999999999999994,-0.10259783520851541,0.41039134083406165,0.3,0.8999999999999998,0.39999999999999997,0.7,0.051298917604257706,0.3,0.3,0.6,0.3,0.3,0.3,0.19999999999999998,0.19999999999999998,0.3,0.9999999999999999
