Test Index,Train Index,Score,Computing Time (s),Space Usage (MB),Same Class
1,258,0.9589160522292236,0.003638396000042121,1.708104133605957,True
17,54,1.3879331906621872,0.0034826390001398977,1.7085800170898438,False
23,319,1.5660565225159482,0.004401672999847506,1.7089624404907227,False
24,148,1.3598829680758069,0.003917815000022529,1.7095355987548828,False
26,235,1.0593644608800707,0.004103151999970578,1.708700180053711,False
36,100,0.6188558784615974,0.003908561000116606,1.7082080841064453,True
56,286,1.451229640547792,0.004300982000131626,1.7085256576538086,True
61,380,1.7283939731541913,0.004262368999661703,1.7089624404907227,True
62,437,1.5989054323855727,0.0041976240004260035,1.7087249755859375,False
67,346,0.9562087852711018,0.004007509999610193,1.7084369659423828,False
73,197,1.2871503334343293,0.003883459999997285,1.7084436416625977,False
78,414,1.832138099959818,0.004521085000305902,1.7094249725341797,True
79,239,2.3423487190832417,0.0048190160000558535,1.7092390060424805,False
87,250,1.4755839224156657,0.004384134999781963,1.7088441848754883,False
100,164,1.3641166824318518,0.004529396999714663,1.7083187103271484,False
117,223,0.9196914517455334,0.004734560000088095,1.7083854675292969,False
120,286,1.235199771264932,0.004432731999713724,1.7093677520751953,True
125,346,0.8291791450751722,0.006149804999949993,1.7079429626464844,False
132,223,1.0631068780048292,0.005145298000115872,1.7085323333740234,True
151,296,1.6406331577490416,0.008375125999918964,1.7087583541870117,True
204,197,1.182890281275899,0.005881269000383327,1.708169937133789,True
210,286,1.2002838698574243,0.005487627000093198,1.708272933959961,True
216,100,0.7249368899236183,0.01030277300014859,1.70904541015625,False
237,258,1.066865704279996,0.007833397000013065,1.708540916442871,True
238,286,1.598117750446598,0.00582915699988007,1.7089576721191406,True
244,250,0.3313737785924053,0.005433589999938704,1.7080554962158203,True
262,380,1.3614339058431169,0.00513343900001928,1.7091646194458008,True
270,223,1.2887985075898785,0.004238856000029045,1.7089204788208008,False
287,180,1.4055254950309772,0.006177946000207157,1.7083263397216797,False
303,163,1.0812921238043198,0.005528102999960538,1.7084579467773438,False
304,296,1.7229977269544097,0.005059886999788432,1.7089128494262695,True
319,148,0.8142624099013582,0.006720303999827593,1.7081756591796875,True
331,127,0.9196070863919443,0.005301122999753716,1.7082242965698242,False
346,148,1.2849723610625259,0.007423166000080528,1.7086915969848633,True
347,379,1.349801231743697,0.006863289999728295,1.708272933959961,False
356,414,2.275688649641506,0.008140256000388035,1.7095623016357422,True
362,223,1.3421484206702323,0.0076195609999558656,1.7090539932250977,False
365,46,1.3104173215603852,0.007051599000078568,1.7085371017456055,False
383,296,1.1411042614075428,0.008511700000326528,1.7091636657714844,True
400,89,1.0021935115415566,0.009738975999880495,1.708235740661621,False
405,148,0.7680420869515118,0.007792336999955296,1.7081804275512695,False
422,81,0.8957737719765284,0.006530122999720334,1.7089595794677734,True
427,346,0.7848410804304954,0.007314897000014753,1.7086524963378906,True
429,380,1.116142901864456,0.009607402000256116,1.708327293395996,True
450,223,1.5452968864115326,0.006176377999963734,1.708643913269043,True
455,432,0.965827027691366,0.0096922870002345,1.7078371047973633,False
459,46,1.3876424287706934,0.010458910999659565,1.709019660949707,False
481,68,1.7588476348468125,0.01012400899981003,1.7090625762939453,False
489,81,0.8392090921738322,0.009157499999673746,1.7126245498657227,False
503,49,1.4759072243093248,0.007932906999940315,1.7088117599487305,True
524,379,0.4227495390295125,0.008963289000348595,1.7078981399536133,True
532,223,1.1533224306366898,0.004553055000087625,1.708754539489746,False
557,179,1.9371550952792715,0.005444285000066884,1.7087621688842773,True
569,250,0.9181480860209619,0.006398062000243954,1.7081165313720703,True
577,296,2.081505319899996,0.00563161600030071,1.7090253829956055,False
583,36,0.9828866365027256,0.010159187999761343,1.7082233428955078,True
588,277,0.9741475347743114,0.009710281000025134,1.7083206176757812,False
589,380,1.803426341939063,0.006942320999769436,1.709071159362793,True
600,36,1.3263501354067557,0.007318221999867092,1.848928451538086,False
612,223,1.4271858062600833,0.007044035000035365,1.7088756561279297,False
614,197,0.9062294193505771,0.012170289999630768,1.708003044128418,False
621,437,1.9236131355472883,0.008367211999939173,1.7092437744140625,False
623,414,1.9452932748322203,0.012219230000027892,1.7090778350830078,True
651,437,2.0171398264250793,0.006871758999750455,1.7093429565429688,False
656,46,1.3660214125972954,0.01007549999985713,1.7089710235595703,False
665,387,1.50002620449428,0.008149938999849837,1.7089290618896484,True
669,277,1.0340047869254625,0.009771942000043055,1.7083711624145508,True
679,68,1.4098586926789083,0.006929281999873638,1.7079648971557617,True
687,315,1.0686632882273628,0.009634917999846948,1.708913803100586,False
698,46,1.0180791127565738,0.010394384999926842,1.7083349227905273,False
701,197,0.848742735446572,0.006710166000175377,1.7087926864624023,False
707,414,2.137758818265134,0.005242692999672727,1.7085437774658203,True
714,190,1.4654773176261529,0.004808418999800779,1.7085895538330078,False
716,432,0.8857462552193444,0.010692920999645139,1.7081718444824219,True
733,286,1.5744903390614304,0.01347016599993367,1.708822250366211,True
737,239,1.2235129476740563,0.009037371999966126,1.7080116271972656,False
739,379,1.2670167440878055,0.00982887899999696,1.7088003158569336,False
767,235,1.6881693858576015,0.006377809000241541,1.7083778381347656,True
781,286,1.4344469975516798,0.010064953999972204,1.7088546752929688,True
802,414,1.5623474387853782,0.005000887999813131,1.7089300155639648,True
812,437,1.8144391506527622,0.014147062000120059,1.7095050811767578,False
834,89,0.38401847759412405,0.010132029000033071,1.708627700805664,True
836,36,0.3959289177273159,0.008148093999807315,1.7080535888671875,True
838,197,0.5122594913473435,0.014680478000173025,1.7079105377197266,True
846,179,1.75035931592567,0.010266724999837606,1.7084455490112305,False
853,258,1.659701808905717,0.009988111999973626,1.7096805572509766,True
862,235,0.3978773812575642,0.008945343000050343,1.707855224609375,True
874,127,1.8158393105487602,0.014322803000140993,1.708272933959961,False
878,42,3.563235833600629,0.005940526000358659,1.7090654373168945,False
879,283,1.1026350736640866,0.010696142000142572,1.7083806991577148,True
888,286,1.0241204365911005,0.014526466000006621,1.7080726623535156,True
898,319,0.7653433839963262,0.007654458999695635,1.7088994979858398,False
900,197,0.9058528926670868,0.011296577999928559,1.708059310913086,True
902,414,2.1635590975077057,0.01135210599977654,1.708963394165039,False
912,5,3.027873918911979,0.009134671000083472,1.7091989517211914,True
925,81,1.3840245099754949,0.014415934000226116,1.709010124206543,False
932,380,1.9421591759698584,0.009852423000211274,1.7093534469604492,False
935,397,0.7398257833137489,0.012313479999647825,1.7087421417236328,False
941,414,2.2417096306874367,0.017785338000066986,1.7084283828735352,False
946,54,1.1764937306875392,0.013954451999779849,1.7079572677612305,False
947,42,1.8930842604150857,0.01875807899978099,1.708369255065918,False
964,239,1.4798096687249254,0.01617851500031975,1.7084980010986328,False
988,414,1.7551859293872345,0.006649118000041199,1.7089862823486328,False
1051,250,0.7989528332808996,0.016300193999995827,1.7080516815185547,False
1062,258,3.6355703599215046,0.009888847000183887,1.709671974182129,False
1064,235,1.1625543701312717,0.008556649000183825,1.7089099884033203,True
1065,432,1.3626410922745458,0.012199691000205348,1.7083263397216797,False
1069,197,1.4298030016108383,0.016436237000107212,1.7084360122680664,False
1075,180,1.0895636182418857,0.01741509400017094,1.7084360122680664,False
1092,380,1.9433652969023094,0.013799251999898843,1.709188461303711,False
1098,277,0.8728722052405687,0.011325680000027205,1.7080068588256836,True
1109,258,0.9392233248632305,0.011819642999853386,1.7081613540649414,False
1110,346,1.0024603076908951,0.005175258000235772,1.708383560180664,False
1111,49,3.0789244490965504,0.01076579899972785,1.709604263305664,False
1117,100,0.5397322337867884,0.009796456999993097,1.7080097198486328,False
1161,148,1.3691104315950426,0.0058547749999888765,1.708700180053711,True
1173,223,1.359280970780883,0.014345133999995596,1.7083234786987305,True
1177,414,1.7721092214443415,0.005370892999962962,1.7087125778198242,False
1180,197,1.1510111185792486,0.00445497400005479,1.7083301544189453,False
1205,239,4.613100590610038,0.014335052999740583,1.709670066833496,False
1212,380,1.9302412629360746,0.012123055999836652,1.7087459564208984,False
1214,78,0.9129700361884048,0.006696066000131395,1.7079458236694336,True
1225,68,2.157938518339665,0.013376557999890792,1.7083311080932617,True
1230,235,1.035204963244539,0.020079067000096984,1.7088947296142578,False
1247,68,2.158651847035991,0.019921169000099326,1.708536148071289,False
1277,49,1.835732822558291,0.016130699000314053,1.7094306945800781,True
1282,46,0.980120251247765,0.01553173299998889,1.7088451385498047,False
1284,258,1.0991919070269611,0.009483413999987533,1.7088146209716797,False
1292,54,1.584410803923361,0.006085778000397113,1.708970069885254,False
1293,319,2.077688897419579,0.00990082699991035,1.7091693878173828,False
1310,235,0.8841815146007735,0.021206954999797745,1.7080211639404297,False
1315,197,0.5833514336260277,0.020553858000312175,1.7078752517700195,False
1320,54,1.5823638049373252,0.019617461000052572,1.7087955474853516,False
1349,250,0.8603442214518208,0.03338589699978911,1.708059310913086,True
1374,286,1.1919747063858899,0.008275201999822457,1.7084312438964844,True
1397,223,0.8476892332150452,0.01697819899982278,1.7082080841064453,True
1399,68,1.192743013455288,0.023217788999772893,1.7082633972167969,False
1412,163,0.8510721359806123,0.013591537000138487,1.7082233428955078,True
1413,223,1.4528003575186328,0.019236201999774494,1.7087984085083008,False
1415,437,1.9223796987023631,0.006854282999938732,1.7097549438476562,True
1419,437,1.733377579318221,0.011433515999669908,1.708913803100586,True
1426,414,1.5479146586253092,0.01099538600010419,1.7082147598266602,True
1447,46,1.5774077507241202,0.02369182499978706,1.7091188430786133,False
1472,179,13.854854267915636,0.0210379949999151,1.714085578918457,True
1473,414,1.553824057350834,0.018359511000198836,1.7084331512451172,True
1488,179,1.299277581774609,0.022849989000405913,1.7085332870483398,False
1501,286,1.5663132221804272,0.008418397999776062,1.7088499069213867,False
1503,68,1.699391744036194,0.02045601899999383,1.7083301544189453,True
1509,380,1.9612563072860327,0.0185784010000134,1.7090740203857422,False
1512,100,1.432134368816714,0.011036335999961011,1.708597183227539,True
1514,296,1.921509556928159,0.011305362999792123,1.7086267471313477,True
1515,437,1.5270777771168536,0.014493228999981511,1.7091703414916992,False
1520,437,1.0857470369028905,0.013079751000077522,1.7085752487182617,True
1528,235,1.1587327164887424,0.00499767300016174,1.708256721496582,False
1534,380,2.021823271248026,0.0133413879998443,1.7088127136230469,True
1542,235,1.2681421174016199,0.02361237200011601,1.7085914611816406,False
1544,180,1.603769630886561,0.010383700999682333,1.708425521850586,False
1549,197,1.4207288731222345,0.024855381000179477,1.7085285186767578,False
1558,296,2.0323563614182802,0.023726944999907573,1.709120750427246,True
1567,89,1.3123032068962925,0.010925795000275684,1.7084407806396484,False
1613,414,1.5463794186234452,0.01812729700031923,1.7088422775268555,True
1618,250,0.9985098088054163,0.005032360999848606,1.7081537246704102,True
1626,68,1.894806332335951,0.025189078000039444,1.7087106704711914,False
1636,380,2.019776440938103,0.007431609999912325,1.7088508605957031,True
1656,49,1.9036822855020925,0.023146236000229692,1.7090845108032227,True
1661,235,1.6060102931957774,0.017381267000018852,1.7082366943359375,True
1665,223,1.4079453450856578,0.02232061499989868,1.7082290649414062,True
1701,36,1.1440331052078838,0.025235601000076713,1.7091827392578125,False
1715,223,1.4432060849288735,0.008088976999715669,1.7085447311401367,False
1733,380,1.1087796129867205,0.008787711999957537,1.7083301544189453,True
1744,258,0.3050979379681454,0.012073239000073954,1.7078123092651367,True
1747,348,18.30973320775515,0.008648310999888054,1.7104053497314453,False
1752,250,0.8823647248665736,0.011698792000061076,1.7081193923950195,False
1762,346,0.9609930099570252,0.01486129799968694,1.7082271575927734,False
1786,68,2.002193633824094,0.013419853999948828,1.708979606628418,False
