Test Index,Train Index,Score,Computing Time (s),Space Usage (MB),Same Class
0,0,0.0,0.00032386300154030323,0.06371402740478516,True
1,0,0.0,6.782199852750637e-05,0.06368350982666016,False
2,0,0.0,6.62929996906314e-05,0.06368350982666016,False
3,0,0.0,6.809900150983594e-05,0.06368350982666016,True
4,0,0.0,6.856499749119394e-05,0.06368350982666016,False
5,0,0.0,6.711499736411497e-05,0.06368350982666016,False
6,0,0.0,6.733899863320403e-05,0.06368350982666016,False
7,0,0.0,6.884100002935156e-05,0.06368350982666016,False
8,0,0.0,6.830400161561556e-05,0.06368350982666016,False
9,0,0.0,6.833900260971859e-05,0.06368350982666016,False
10,0,0.0,6.72310015943367e-05,0.06368350982666016,False
11,0,0.0,6.727499931002967e-05,0.06368350982666016,True
12,0,0.0,8.102300125756301e-05,0.06368350982666016,False
13,0,0.0,7.39839997550007e-05,0.06368350982666016,False
14,0,0.0,6.686699998681433e-05,0.06368350982666016,True
15,0,0.0,6.818399924668483e-05,0.06368350982666016,False
16,2,0.0,6.705299892928451e-05,0.06368350982666016,True
17,0,0.0,7.712799924775027e-05,0.06368350982666016,True
18,0,0.0,6.65360021230299e-05,0.06368350982666016,True
19,0,0.0,7.577200085506774e-05,0.06368350982666016,True
20,0,0.0,6.7378998210188e-05,0.06368350982666016,True
21,0,0.0,6.751000182703137e-05,0.06368350982666016,True
22,0,0.0,8.077799793682061e-05,0.0637063980102539,False
23,0,0.0,6.915199992363341e-05,0.0637063980102539,True
24,2,0.0,6.649699935223907e-05,0.06368350982666016,False
25,0,0.0,0.0001919290007208474,0.0637063980102539,True
26,0,0.0,7.104099859134294e-05,0.0637063980102539,True
27,0,0.0,6.971000038902275e-05,0.0637063980102539,False
28,0,0.0,6.983899947954342e-05,0.0637063980102539,False
29,0,0.0,7.867800013627857e-05,0.0637063980102539,False
30,0,0.0,7.051400098134764e-05,0.0637063980102539,True
31,0,0.0,7.3970000812551e-05,0.0637063980102539,True
32,0,0.0,7.050999920465983e-05,0.0637063980102539,True
33,0,0.0,6.764099816791713e-05,0.0637063980102539,False
34,0,0.0,6.913300239830278e-05,0.0637063980102539,True
35,0,0.0,8.211599924834445e-05,0.0637063980102539,False
36,0,0.0,0.00011127100151497871,0.0637063980102539,True
37,0,0.0,9.375200170325115e-05,0.0637063980102539,False
38,0,0.0,7.643999924766831e-05,0.0637063980102539,False
39,0,0.0,6.977399971219711e-05,0.0637063980102539,True
40,0,0.0,6.907999704708345e-05,0.0637063980102539,True
41,0,0.0,6.960199971217662e-05,0.0637063980102539,True
42,0,0.0,7.29830026102718e-05,0.0637063980102539,True
43,0,0.0,7.493600060115568e-05,0.0637063980102539,False
44,0,0.0,7.270599962794222e-05,0.0637063980102539,True
45,0,0.0,7.016400195425376e-05,0.0637063980102539,True
46,0,0.0,7.227099922602065e-05,0.0637063980102539,False
47,0,0.0,7.055099922581576e-05,0.0637063980102539,False
48,0,0.0,7.155200000852346e-05,0.0637063980102539,True
49,0,0.0,6.919000225025229e-05,0.0637063980102539,False
50,0,0.0,7.076499969116412e-05,0.0637063980102539,True
51,0,0.0,6.799800030421466e-05,0.0637063980102539,True
52,0,0.0,6.941800165805034e-05,0.0637063980102539,True
53,0,0.0,0.0002304779991391115,0.0637063980102539,True
54,0,0.0,7.047600229270756e-05,0.0637063980102539,False
55,0,0.0,7.302100129891187e-05,0.0637063980102539,False
56,0,0.0,6.938200021977536e-05,0.0637063980102539,True
57,0,0.0,7.786899732309394e-05,0.0637674331665039,True
58,0,0.0,7.067299884511158e-05,0.0637674331665039,False
59,0,0.0,7.180299871833995e-05,0.0637674331665039,False
60,0,0.0,0.00010316300176782534,0.0637674331665039,True
61,0,0.0,7.054099842207506e-05,0.0637674331665039,False
62,0,0.0,7.084300159476697e-05,0.0637674331665039,True
63,0,0.0,7.138500222936273e-05,0.0637674331665039,True
64,0,0.0,8.555500244256109e-05,0.0637674331665039,False
65,0,0.0,7.029900007182732e-05,0.0637674331665039,False
66,0,0.0,6.97089999448508e-05,0.0637674331665039,True
